Year,Activity,Source,Destination,Energy (MW.h),Total Value (CAN$),Price (CAN$/MW.h)
1990,Imports,Total,Total,15543122.0,555900970.8,35.77
1990,Imports,Vermont,Québec,31503.0,1452771.28,46.12
1990,Imports,Vermont,Total,31503.0,1452771.28,46.12
1990,Imports,Washington,Alberta,2727.0,116974.34,42.89
1990,Imports,Washington,British Columbia,34190.0,314847.38,9.21
1990,Imports,Washington,Total,36917.0,431821.72,11.70
1991,Exports,British Columbia,Alaska,662.52,58569.0,88.40
1991,Exports,British Columbia,California,3028885.0,74715376.06,24.67
1991,Exports,British Columbia,Idaho,144321.0,1840090.17,12.75
1991,Exports,British Columbia,Montana,25432.0,270729.25,10.65
1991,Exports,British Columbia,Nevada,7950.0,140080.12,17.62
1991,Exports,British Columbia,Oregon,1322963.0,24176609.3,18.27
1991,Exports,British Columbia,Total,5269413.258,119397185.81,22.66
1991,Exports,British Columbia,Washington,739199.738,18195731.91,24.62
1991,Exports,Manitoba,Minnesota,3120974.948,55418668.01,16.44
1991,Exports,Manitoba,North Dakota,194897.0,4063437.84,20.85
1991,Exports,Manitoba,Total,3315871.948,59482105.85,16.70
1991,Exports,New Brunswick,Maine,1342559.131,51715155.77,37.76
1991,Exports,New Brunswick,Massachusetts,1743531.0,93429176.0,53.59
1991,Exports,New Brunswick,Total,3086090.131,145144331.77,46.70
1991,Exports,Ontario,Michigan,107628.9,2346688.04,21.80
1991,Exports,Ontario,New York,2183376.098,60965379.2,26.32
1991,Exports,Ontario,Total,2314216.998,65170325.44,26.14
1991,Exports,Ontario,Vermont,23212.0,1858258.2,28.75
1991,Exports,Québec,Maine,1135.88,76565.13,67.41
1991,Exports,Québec,New England-ISO,3222945.0,72026150.9,22.33
1991,Exports,Québec,New Hampshire,2.02,160.28,79.35
1991,Exports,Québec,New York,1075447.0,38672712.76,26.83
1991,Exports,Québec,Total,5771050.9,169244279.76,23.75
1991,Exports,Québec,Vermont,1471521.0,58468690.69,24.60
1991,Exports,Saskatchewan,North Dakota,58646.0,685417.47,11.69
1991,Exports,Saskatchewan,Total,58646.0,685417.47,11.69
1991,Exports,Total,Alaska,662.52,58569.0,88.40
1991,Exports,Total,California,3028885.0,74715376.06,24.67
1991,Exports,Total,Idaho,144321.0,1840090.17,12.75
1991,Exports,Total,Maine,1343695.011,51791720.9,37.79
1991,Exports,Total,Massachusetts,1743531.0,93429176.0,53.59
1991,Exports,Total,Michigan,107628.9,2346688.04,21.80
1991,Exports,Total,Minnesota,3120974.948,55418668.01,16.44
1991,Exports,Total,Montana,25432.0,270729.25,10.65
1991,Exports,Total,Nevada,7950.0,140080.12,17.62
1991,Exports,Total,New England-ISO,3222945.0,72026150.9,22.33
1991,Exports,Total,New Hampshire,2.02,160.28,79.35
1991,Exports,Total,New York,3258823.098,99638091.96,26.49
1991,Exports,Total,North Dakota,253543.0,4748855.31,18.73
1991,Exports,Total,Oregon,1322963.0,24176609.3,18.27
1991,Exports,Total,Total,19815289.235,559123646.1,26.10
1991,Exports,Total,Vermont,1494733.0,60326948.89,24.66
1991,Exports,Total,Washington,739199.738,18195731.91,24.62
1991,Imports,Maine,New Brunswick,55633.0,1304068.27,23.30
1991,Imports,Maine,Total,55633.0,1304068.27,23.30
1991,Imports,Michigan,Ontario,553719.3,24772770.85,44.74
1991,Imports,Michigan,Total,553719.3,24772770.85,44.74
1991,Imports,Minnesota,Manitoba,217314.0,2810855.43,12.93
1991,Imports,Minnesota,Ontario,51341.0,1020188.14,19.87
1991,Imports,Minnesota,Total,268655.0,3831043.57,14.26
1991,Imports,Montana,British Columbia,196.0,10358.39,52.85
1991,Imports,Montana,Total,196.0,10358.39,52.85
1991,Imports,New England-ISO,Québec,373569.0,9526436.55,25.50
1991,Imports,New England-ISO,Total,373569.0,9526436.55,25.50
1991,Imports,New York,Ontario,109514.0,7159504.95,65.38
1991,Imports,New York,Québec,92207.0,19231888.94,140.64
1991,Imports,New York,Total,201721.0,26391393.89,99.78
1991,Imports,North Dakota,Manitoba,44707.0,585596.84,13.10
1991,Imports,North Dakota,Saskatchewan,45750.0,2610160.83,50.41
1991,Imports,North Dakota,Total,90457.0,3195757.67,31.97
1991,Imports,Total,Alberta,2653.0,110618.91,41.70
1991,Imports,Total,British Columbia,498.0,18046.39,36.24
1991,Imports,Total,Manitoba,262021.0,3396452.27,12.96
1991,Imports,Total,New Brunswick,55633.0,1304068.27,23.30
1991,Imports,Total,Ontario,714574.3,32952463.94,46.11
1991,Imports,Total,Québec,606821.0,34754428.27,46.71
1991,Imports,Total,Saskatchewan,45750.0,2610160.83,50.41
1991,Imports,Total,Total,1687950.3,75146238.88,40.54
1991,Imports,Vermont,Québec,141045.0,5996102.78,41.49
1991,Imports,Vermont,Total,141045.0,5996102.78,41.49
1991,Imports,Washington,Alberta,2653.0,110618.91,41.70
1991,Imports,Washington,British Columbia,302.0,7688.0,25.46
1991,Imports,Washington,Total,2955.0,118306.91,40.04
1992,Exports,British Columbia,Alaska,529.92,57369.0,108.26
1992,Exports,British Columbia,California,1009856.0,23551082.37,23.32
1992,Exports,British Columbia,Idaho,263031.0,6838679.28,26.00
1992,Exports,British Columbia,Montana,17091.0,341054.9,19.96
1992,Exports,British Columbia,Nevada,20448.0,659067.79,32.23
1992,Exports,British Columbia,Oregon,890254.0,22402487.8,25.16
1992,Exports,British Columbia,Total,7474482.214,193963335.82,25.95
1992,Exports,British Columbia,Washington,5273272.294,140113594.68,26.57
1992,Exports,Manitoba,Minnesota,5455075.625,86083622.88,14.65
1992,Exports,Manitoba,North Dakota,602677.0,9615541.91,15.40
1992,Exports,Manitoba,Total,6057752.625,95699164.79,14.72
1992,Exports,New Brunswick,Maine,972636.464,41879861.6,42.01
1992,Exports,New Brunswick,Massachusetts,757210.0,46565831.0,61.50
1992,Exports,New Brunswick,Total,1729846.464,88445692.6,50.54
1992,Exports,Ontario,Michigan,83495.276,1696872.61,20.32
1992,Exports,Ontario,Minnesota,15400.0,745128.91,26.97
1992,Exports,Ontario,New York,1903425.667,51388782.32,26.18
1992,Exports,Ontario,Total,2055962.943,59230054.97,25.96
1992,Exports,Ontario,Vermont,53642.0,5399271.13,26.51
1992,Exports,Québec,Maine,917.465,65538.92,71.43
1992,Exports,Québec,New England-ISO,5413912.0,119406586.56,22.06
1992,Exports,Québec,New York,1626684.0,62339786.56,30.37
1992,Exports,Québec,Total,8826668.465,258873155.68,23.99
1992,Exports,Québec,Vermont,1785155.0,77061243.64,24.02
1992,Exports,Saskatchewan,North Dakota,79485.0,1697228.77,21.35
1992,Exports,Saskatchewan,Total,79485.0,1697228.77,21.35
1992,Exports,Total,Alaska,529.92,57369.0,108.26
1992,Exports,Total,California,1009856.0,23551082.37,23.32
1992,Exports,Total,Idaho,263031.0,6838679.28,26.00
1992,Exports,Total,Maine,973553.929,41945400.52,42.04
1992,Exports,Total,Massachusetts,757210.0,46565831.0,61.50
1992,Exports,Total,Michigan,83495.276,1696872.61,20.32
1992,Exports,Total,Minnesota,5470475.625,86828751.79,14.68
1992,Exports,Total,Montana,17091.0,341054.9,19.96
1992,Exports,Total,Nevada,20448.0,659067.79,32.23
1992,Exports,Total,New England-ISO,5413912.0,119406586.56,22.06
1992,Exports,Total,New York,3530109.667,113728568.88,28.11
1992,Exports,Total,North Dakota,682162.0,11312770.68,16.09
1992,Exports,Total,Oregon,890254.0,22402487.8,25.16
1992,Exports,Total,Total,26224197.711,697908632.63,24.31
1992,Exports,Total,Vermont,1838797.0,82460514.77,24.09
1992,Exports,Total,Washington,5273272.294,140113594.68,26.57
1992,Imports,Maine,New Brunswick,56377.8,992032.37,17.50
1992,Imports,Maine,Total,56377.8,992032.37,17.50
1992,Imports,Michigan,Ontario,314833.2,9357423.5,29.72
1992,Imports,Michigan,Total,314833.2,9357423.5,29.72
1992,Imports,Minnesota,Ontario,45502.0,775600.44,17.05
1992,Imports,Minnesota,Total,45502.0,775600.44,17.05
1992,Imports,Montana,British Columbia,229.3,13403.61,58.45
1992,Imports,Montana,Total,229.3,13403.61,58.45
1992,Imports,New England-ISO,Québec,524181.0,14782935.56,28.08
1992,Imports,New England-ISO,Total,524181.0,14782935.56,28.08
1992,Imports,New York,Ontario,37142.0,3654415.79,97.39
1992,Imports,New York,Québec,439931.0,24292080.45,28.00
1992,Imports,New York,Total,477073.0,27946496.24,33.41
1992,Imports,North Dakota,Saskatchewan,7275.0,1668783.96,18.05
1992,Imports,North Dakota,Total,7275.0,1668783.96,18.05
1992,Imports,Total,Alberta,2332.0,90299.08,38.72
1992,Imports,Total,British Columbia,520.3,20799.61,39.98
1992,Imports,Total,New Brunswick,56377.8,992032.37,17.50
1992,Imports,Total,Ontario,397477.2,13787439.73,34.59
1992,Imports,Total,Québec,1371710.0,60641471.87,28.73
1992,Imports,Total,Saskatchewan,7275.0,1668783.96,18.05
1992,Imports,Total,Total,1835692.3,77200826.62,29.63
1992,Imports,Vermont,Québec,407598.0,21566455.86,30.35
1992,Imports,Vermont,Total,407598.0,21566455.86,30.35
1992,Imports,Washington,Alberta,2332.0,90299.08,38.72
1992,Imports,Washington,British Columbia,291.0,7396.0,25.42
1992,Imports,Washington,Total,2623.0,97695.08,37.25
1993,Exports,British Columbia,Alaska,1321.62,79307.48,60.01
1993,Exports,British Columbia,California,19239.0,761283.99,39.57
1993,Exports,British Columbia,Montana,3040.0,120129.91,39.52
1993,Exports,British Columbia,Nevada,1049.0,34813.0,33.19
1993,Exports,British Columbia,Oregon,1081483.0,40756614.01,37.69
1993,Exports,British Columbia,Total,2907334.65,106458344.82,36.62
1993,Exports,British Columbia,Washington,1801202.03,64706196.43,35.92
1993,Exports,Manitoba,Minnesota,6707833.041,185694087.75,18.25
1993,Exports,Manitoba,North Dakota,1116260.0,18648901.72,15.94
1993,Exports,Manitoba,Total,7824093.041,204342989.47,17.92
1993,Exports,New Brunswick,Maine,1014586.277,42436194.94,40.80
1993,Exports,New Brunswick,Massachusetts,763896.0,38002319.0,49.75
1993,Exports,New Brunswick,Total,1778482.277,80438513.94,44.64
1993,Exports,Ontario,Michigan,2419889.246,63896262.68,24.78
1993,Exports,Ontario,Minnesota,3040.0,77042.07,3.98
1993,Exports,Ontario,New York,2427506.708,60046677.49,24.53
1993,Exports,Ontario,Total,4964086.954,131607521.48,24.63
1993,Exports,Ontario,Vermont,113651.0,7587539.24,24.14
1993,Exports,Québec,Maine,1227.91,89546.2,72.93
1993,Exports,Québec,New England-ISO,6454550.0,141823387.55,21.97
1993,Exports,Québec,New York,3340709.0,95244620.72,24.74
1993,Exports,Québec,Total,11706694.91,331426670.24,23.49
1993,Exports,Québec,Vermont,1910208.0,94269115.77,26.40
1993,Exports,Saskatchewan,North Dakota,183528.0,3452731.61,18.81
1993,Exports,Saskatchewan,Total,183528.0,3452731.61,18.81
1993,Exports,Total,Alaska,1321.62,79307.48,60.01
1993,Exports,Total,California,19239.0,761283.99,39.57
1993,Exports,Total,Maine,1015814.187,42525741.14,40.84
1993,Exports,Total,Massachusetts,763896.0,38002319.0,49.75
1993,Exports,Total,Michigan,2419889.246,63896262.68,24.78
1993,Exports,Total,Minnesota,6710873.041,185771129.82,18.25
1993,Exports,Total,Montana,3040.0,120129.91,39.52
1993,Exports,Total,Nevada,1049.0,34813.0,33.19
1993,Exports,Total,New England-ISO,6454550.0,141823387.55,21.97
1993,Exports,Total,New York,5768215.708,155291298.21,24.65
1993,Exports,Total,North Dakota,1299788.0,22101633.33,16.35
1993,Exports,Total,Oregon,1081483.0,40756614.01,37.69
1993,Exports,Total,Total,29364219.832,857726771.56,24.75
1993,Exports,Total,Vermont,2023859.0,101856655.01,26.28
1993,Exports,Total,Washington,1801202.03,64706196.43,35.92
1993,Imports,Maine,New Brunswick,73227.0,1860008.29,25.40
1993,Imports,Maine,Total,73227.0,1860008.29,25.40
1993,Imports,Michigan,Ontario,28735.9,646402.21,22.49
1993,Imports,Michigan,Total,28735.9,646402.21,22.49
1993,Imports,Minnesota,Manitoba,479604.0,7390219.38,15.41
1993,Imports,Minnesota,Ontario,42.0,1507.8,35.90
1993,Imports,Minnesota,Total,479646.0,7391727.18,15.41
1993,Imports,Montana,British Columbia,329.0,18899.62,57.45
1993,Imports,Montana,Total,329.0,18899.62,57.45
1993,Imports,New England-ISO,Québec,144027.0,3341151.11,23.20
1993,Imports,New England-ISO,Total,144027.0,3341151.11,23.20
1993,Imports,New York,Ontario,166069.0,7956228.46,47.91
1993,Imports,New York,Québec,55780.0,13661536.5,22.85
1993,Imports,New York,Total,221849.0,21617764.96,41.61
1993,Imports,North Dakota,Manitoba,130747.0,2078306.52,15.90
1993,Imports,North Dakota,Saskatchewan,101653.0,1901044.34,18.50
1993,Imports,North Dakota,Total,232400.0,3979350.86,17.04
1993,Imports,Total,Alberta,2468.52,116351.4,47.13
1993,Imports,Total,British Columbia,1081548.0,19109611.68,17.67
1993,Imports,Total,Manitoba,610351.0,9468525.9,15.51
1993,Imports,Total,New Brunswick,73227.0,1860008.29,25.40
1993,Imports,Total,Ontario,194846.9,8604138.47,44.16
1993,Imports,Total,Québec,627628.0,43718797.3,29.14
1993,Imports,Total,Saskatchewan,101653.0,1901044.34,18.50
1993,Imports,Total,Total,2691722.42,84778477.38,22.04
1993,Imports,Vermont,Québec,427821.0,26716109.69,31.96
1993,Imports,Vermont,Total,427821.0,26716109.69,31.96
1993,Imports,Washington,Alberta,2468.52,116351.4,47.13
1993,Imports,Washington,British Columbia,1081219.0,19090712.06,17.66
1993,Imports,Washington,Total,1083687.52,19207063.46,17.72
1994,Exports,British Columbia,Alaska,1308.72,89872.44,68.67
1994,Exports,British Columbia,Arizona,21.0,865.0,41.19
1994,Exports,British Columbia,California,145895.0,4129949.18,28.31
1994,Exports,British Columbia,Idaho,67315.0,2284975.27,33.94
1994,Exports,British Columbia,Nevada,6850.0,233123.0,34.03
1994,Exports,British Columbia,Oregon,1066362.0,43098835.64,40.42
1994,Exports,British Columbia,Total,4110642.747,144952555.35,35.26
1994,Exports,British Columbia,Washington,2822891.027,95114934.82,33.69
1994,Exports,Manitoba,Minnesota,7779971.932,259285301.08,20.89
1994,Exports,Manitoba,North Dakota,1074042.0,21366401.33,18.56
1994,Exports,Manitoba,Total,8854013.932,280651702.41,20.61
1994,Exports,New Brunswick,Maine,1998603.518,70162940.13,34.60
1994,Exports,New Brunswick,Massachusetts,339354.0,17342112.0,51.10
1994,Exports,New Brunswick,Total,2337957.518,87505052.13,36.99
1994,Exports,Ontario,Massachusetts,14685.0,349798.43,23.82
1994,Exports,Ontario,Michigan,6910249.852,189069912.52,23.89
1994,Exports,Ontario,Minnesota,75565.0,1906087.7,23.87
1994,Exports,Ontario,New England-ISO,103667.0,2481265.86,6.31
1994,Exports,Ontario,New York,5221132.791,149178328.54,26.23
1994,Exports,Ontario,Pennsylvania,141341.0,4261167.3,30.15
1994,Exports,Ontario,Total,12663470.643,351372161.83,24.74
1994,Exports,Ontario,Vermont,196830.0,4125601.48,20.96
1994,Exports,Québec,Maine,1449.95,105186.09,72.54
1994,Exports,Québec,New England-ISO,6972110.0,166320961.92,23.86
1994,Exports,Québec,New York,7750299.0,193146074.82,23.36
1994,Exports,Québec,Total,16834389.95,463710613.77,24.05
1994,Exports,Québec,Vermont,2110531.0,104138390.94,27.15
1994,Exports,Saskatchewan,North Dakota,21406.0,430992.18,20.13
1994,Exports,Saskatchewan,Total,21406.0,430992.18,20.13
1994,Exports,Total,Alaska,1308.72,89872.44,68.67
1994,Exports,Total,Arizona,21.0,865.0,41.19
1994,Exports,Total,California,145895.0,4129949.18,28.31
1994,Exports,Total,Idaho,67315.0,2284975.27,33.94
1994,Exports,Total,Maine,2000053.468,70268126.22,34.62
1994,Exports,Total,Massachusetts,354039.0,17691910.43,49.97
1994,Exports,Total,Michigan,6910249.852,189069912.52,23.89
1994,Exports,Total,Minnesota,7855536.932,261191388.78,20.92
1994,Exports,Total,Nevada,6850.0,233123.0,34.03
1994,Exports,Total,New England-ISO,7075777.0,168802227.78,23.60
1994,Exports,Total,New York,12971431.791,342324403.36,24.52
1994,Exports,Total,North Dakota,1095448.0,21797393.51,18.59
1994,Exports,Total,Oregon,1066362.0,43098835.64,40.42
1994,Exports,Total,Pennsylvania,141341.0,4261167.3,30.15
1994,Exports,Total,Total,44821880.79,1328623077.67,25.27
1994,Exports,Total,Vermont,2307361.0,108263992.42,26.62
1994,Exports,Total,Washington,2822891.027,95114934.82,33.69
1994,Imports,Maine,New Brunswick,40429.0,1324664.19,32.77
1994,Imports,Maine,Total,40429.0,1324664.19,32.77
1994,Imports,Michigan,Ontario,1172.2,9897.85,8.44
1994,Imports,Michigan,Total,1172.2,9897.85,8.44
1994,Imports,Minnesota,Manitoba,112872.0,1809928.42,16.04
1994,Imports,Minnesota,Total,112872.0,1809928.42,16.04
1994,Imports,Montana,British Columbia,180.7,13116.17,72.59
1994,Imports,Montana,Total,180.7,13116.17,72.59
1994,Imports,New England-ISO,Québec,8174.0,162891.66,19.93
1994,Imports,New England-ISO,Total,8174.0,162891.66,19.93
1994,Imports,New York,Ontario,183619.0,8207644.49,44.70
1994,Imports,New York,Québec,6032.0,166603.84,27.62
1994,Imports,New York,Total,189651.0,8374248.33,44.16
1994,Imports,North Dakota,Manitoba,45225.0,665411.86,14.71
1994,Imports,North Dakota,Saskatchewan,78723.0,1385954.58,11.87
1994,Imports,North Dakota,Total,123948.0,2051366.44,12.91
1994,Imports,Total,Alberta,2768.08,142815.7,51.59
1994,Imports,Total,British Columbia,22950.7,604371.42,26.33
1994,Imports,Total,Manitoba,158097.0,2475340.28,15.66
1994,Imports,Total,New Brunswick,40429.0,1324664.19,32.77
1994,Imports,Total,Ontario,184791.2,8217542.34,44.47
1994,Imports,Total,Québec,453455.0,29712931.27,34.39
1994,Imports,Total,Saskatchewan,78723.0,1385954.58,11.87
1994,Imports,Total,Total,941213.98,43863619.78,31.12
1994,Imports,Vermont,Québec,439249.0,29383435.77,34.75
1994,Imports,Vermont,Total,439249.0,29383435.77,34.75
1994,Imports,Washington,Alberta,2768.08,142815.7,51.59
1994,Imports,Washington,British Columbia,22770.0,591255.25,25.97
1994,Imports,Washington,Total,25538.08,734070.95,28.74
1995,Exports,British Columbia,Alaska,1101.82,58314.42,52.93
1995,Exports,British Columbia,California,46268.0,1220634.24,26.38
1995,Exports,British Columbia,Idaho,2798.0,52631.13,18.81
1995,Exports,British Columbia,Missouri,450.0,6075.0,13.50
1995,Exports,British Columbia,Oregon,827764.0,34309202.89,41.45
1995,Exports,British Columbia,Total,1761849.561,62575439.69,35.50
1995,Exports,British Columbia,Washington,883467.741,26928582.01,30.45
1995,Exports,Manitoba,Minnesota,8460212.223,265325400.61,19.59
1995,Exports,Manitoba,North Dakota,678897.0,14539086.68,18.78
1995,Exports,Manitoba,Total,9139109.223,279864487.29,19.53
1995,Exports,New Brunswick,Maine,3344934.051,115793771.35,34.31
1995,Exports,New Brunswick,Total,3344934.051,115793771.35,34.31
1995,Exports,Ontario,Massachusetts,293522.0,6110745.06,20.82
1995,Exports,Ontario,Michigan,5800610.852,153591730.61,21.94
1995,Exports,Ontario,Minnesota,128721.0,4037729.94,27.49
1995,Exports,Ontario,New England-ISO,559285.0,13004233.67,2.25
1995,Exports,Ontario,New York,2326380.854,57498723.19,22.97
1995,Exports,Ontario,Pennsylvania,11867.0,427200.81,36.00
1995,Exports,Ontario,Total,9195141.706,236596197.77,21.09
1995,Exports,Ontario,Vermont,74755.0,1925834.49,25.47
1995,Exports,Québec,Maine,1013.755,74815.33,73.80
1995,Exports,Québec,Massachusetts,220684.0,5256196.07,23.53
1995,Exports,Québec,New England-ISO,7097666.0,166124877.03,21.35
1995,Exports,Québec,New York,6675568.0,173258346.66,24.21
1995,Exports,Québec,Pennsylvania,10758.0,291180.9,27.07
1995,Exports,Québec,Total,17048612.755,488159166.68,22.82
1995,Exports,Québec,Vermont,3042923.0,143153750.69,23.10
1995,Exports,Saskatchewan,North Dakota,106494.0,1759317.63,16.52
1995,Exports,Saskatchewan,Total,106494.0,1759317.63,16.52
1995,Exports,Total,Alaska,1101.82,58314.42,52.93
1995,Exports,Total,California,46268.0,1220634.24,26.38
1995,Exports,Total,Idaho,2798.0,52631.13,18.81
1995,Exports,Total,Maine,3345947.806,115868586.68,34.32
1995,Exports,Total,Massachusetts,514206.0,11366941.13,21.98
1995,Exports,Total,Michigan,5800610.852,153591730.61,21.94
1995,Exports,Total,Minnesota,8588933.223,269363130.55,19.71
1995,Exports,Total,Missouri,450.0,6075.0,13.50
1995,Exports,Total,New England-ISO,7656951.0,179129110.7,19.96
1995,Exports,Total,New York,9001948.854,230757069.85,23.89
1995,Exports,Total,North Dakota,785391.0,16298404.31,18.47
1995,Exports,Total,Oregon,827764.0,34309202.89,41.45
1995,Exports,Total,Pennsylvania,22625.0,718381.71,31.75
1995,Exports,Total,Total,40596141.296,1184748380.41,23.17
1995,Exports,Total,Vermont,3117678.0,145079585.18,23.16
1995,Exports,Total,Washington,883467.741,26928582.01,30.45
1995,Imports,Maine,New Brunswick,9634.6,415569.47,43.13
1995,Imports,Maine,Total,9634.6,415569.47,43.13
1995,Imports,Michigan,Ontario,40981.5,1196232.97,29.19
1995,Imports,Michigan,Total,40981.5,1196232.97,29.19
1995,Imports,Minnesota,Manitoba,82727.0,939775.27,11.36
1995,Imports,Minnesota,Ontario,65234.659,902422.4,13.83
1995,Imports,Minnesota,Total,147961.659,1842197.67,12.45
1995,Imports,Montana,British Columbia,397.0,23370.19,58.87
1995,Imports,Montana,Total,397.0,23370.19,58.87
1995,Imports,New England-ISO,Québec,33620.0,772662.55,22.98
1995,Imports,New England-ISO,Total,33620.0,772662.55,22.98
1995,Imports,New York,Ontario,100681.0,5391759.02,53.55
1995,Imports,New York,Québec,2347.0,3829538.01,2841.99
1995,Imports,New York,Total,103028.0,9221297.03,117.07
1995,Imports,North Dakota,Manitoba,19852.0,273434.38,13.77
1995,Imports,North Dakota,Saskatchewan,34519.0,497931.25,14.12
1995,Imports,North Dakota,Total,54371.0,771365.63,13.99
1995,Imports,Pennsylvania,Québec,6900.0,151192.8,21.91
1995,Imports,Pennsylvania,Total,6900.0,151192.8,21.91
1995,Imports,Total,Alberta,2443.6,130279.59,53.31
1995,Imports,Total,British Columbia,1646409.0,24332000.54,14.42
1995,Imports,Total,Manitoba,102579.0,1213209.65,11.83
1995,Imports,Total,New Brunswick,9634.6,415569.47,43.13
1995,Imports,Total,Ontario,206897.159,7490414.39,36.20
1995,Imports,Total,Québec,465760.0,43684712.76,45.67
1995,Imports,Total,Saskatchewan,34519.0,497931.25,14.12
1995,Imports,Total,Total,2468242.359,77764117.65,22.18
1995,Imports,Vermont,Québec,422893.0,38931319.4,32.34
1995,Imports,Vermont,Total,422893.0,38931319.4,32.34
1995,Imports,Washington,Alberta,2443.6,130279.59,53.31
1995,Imports,Washington,British Columbia,1646012.0,24308630.35,14.41
1995,Imports,Washington,Total,1648455.6,24438909.94,14.46
1996,Exports,Alberta,California,4625.0,52524.0,11.36
1996,Exports,Alberta,Oregon,800.0,38624.0,48.28
1996,Exports,Alberta,Total,20536.0,406155.0,19.78
1996,Exports,Alberta,Washington,15111.0,315007.0,20.85
1996,Exports,British Columbia,Alaska,1184.62,55213.0,46.61
1996,Exports,British Columbia,California,249591.0,3768801.35,15.10
1996,Exports,British Columbia,Idaho,170361.0,2729511.87,16.02
